id,title,url,source,published_at,snippet,text,canonical_url,domain,normalized_title,dedup_text,source_quality,content_length,allow_hits,deny_hits,relevance,candidate_score,noise_reason,is_candidate,detected_category,cluster_id,dedup_method,dedup_threshold,dedup_similarity
a011,Revolut targets SMEs with cash-flow based business loans,https://www.finextra.com/newsarticle/revolut-business-working-capital,Finextra,2026-05-08,"Revolut is introducing working capital loans for business accounts, using account activity and cash-flow data to pre-qualify small companies.","Revolut is introducing working capital loans for business accounts, using account activity and cash-flow data to pre-qualify small companies. The publication mentions Revolut and connects the update with banking_product use cases for banks.",https://finextra.com/newsarticle/revolut-business-working-capital,finextra.com,revolut targets smes cash flow based business loans,revolut targets smes cash flow based business loans revolut is introducing working capital loans business accounts using account activity cash flow data pre qualify small companies,0.8,382,"['account', 'bank', 'banking', 'loan', 'sme']",[],4.55,91.0,,True,banking_product,s017,fuzzy,0.72,1.0
a012,UK banks test variable recurring payments for subscription commerce,https://www.openbanking.org.uk/news/variable-recurring-payments-pilot,Open Banking UK,2026-05-08,"A group of UK banks and payment providers started testing variable recurring payments for subscriptions and bill pay, expanding open banking beyond account access.","A group of UK banks and payment providers started testing variable recurring payments for subscriptions and bill pay, expanding open banking beyond account access. The publication mentions Open Banking Limited and connects the update with payments use cases for banks.",https://openbanking.org.uk/news/variable-recurring-payments-pilot,openbanking.org.uk,uk banks test variable recurring payments subscription commerce,uk banks test variable recurring payments subscription commerce group uk banks payment providers started testing variable recurring payments subscriptions bill pay expanding open banking beyond account access,0.9,432,"['account', 'bank', 'banking', 'open banking', 'payment', 'payments']",[],5.0,100.0,,True,payments,s010,fuzzy,0.72,1.0
a013,UK open banking pilots VRP for recurring commerce,https://thepaypers.com/online-payments/uk-vrp-subscription-commerce,The Paypers,2026-05-07,"A group of UK banks and payment providers started testing variable recurring payments for subscriptions and bill pay, expanding open banking beyond account access.","A group of UK banks and payment providers started testing variable recurring payments for subscriptions and bill pay, expanding open banking beyond account access. The publication mentions Open Banking Limited and connects the update with payments use cases for banks.",https://thepaypers.com/online-payments/uk-vrp-subscription-commerce,thepaypers.com,uk open banking pilots vrp recurring commerce,uk open banking pilots vrp recurring commerce group uk banks payment providers started testing variable recurring payments subscriptions bill pay expanding open banking beyond account access,0.8,432,"['account', 'bank', 'banking', 'open banking', 'payment', 'payments']",[],5.0,100.0,,True,payments,s010,fuzzy,0.72,0.833
a014,UK open banking pilots VRP for recurring commerce,https://fintechrepost.example/open_banking_payments?utm_source=telegram,Fintech Repost,2026-05-06,"A group of UK banks and payment providers started testing variable recurring payments for subscriptions and bill pay, expanding open banking beyond account access. The article republishes details from another industry source.","A group of UK banks and payment providers started testing variable recurring payments for subscriptions and bill pay, expanding open banking beyond account access.",https://fintechrepost.example/open_banking_payments,fintechrepost.example,uk open banking pilots vrp recurring commerce,uk open banking pilots vrp recurring commerce group uk banks payment providers started testing variable recurring payments subscriptions bill pay expanding open banking beyond account access article republishes details from another industry source,0.45,389,"['account', 'ai', 'bank', 'banking', 'open banking', 'payment', 'payments']",[],5.0,100.0,,True,payments,s026,fuzzy,0.72,1.0
a015,Consumer regulator proposes stricter disclosures for BNPL providers,https://www.consumerfinance.gov/about-us/newsroom/bnpl-disclosure-rules,CFPB,2026-05-07,"A consumer regulator proposed clearer disclosures and complaint handling rules for buy-now-pay-later providers, bringing BNPL closer to card-like oversight.","A consumer regulator proposed clearer disclosures and complaint handling rules for buy-now-pay-later providers, bringing BNPL closer to card-like oversight. The publication mentions CFPB and connects the update with regulation use cases for banks.",https://consumerfinance.gov/about-us/newsroom/bnpl-disclosure-rules,consumerfinance.gov,consumer regulator proposes stricter disclosures bnpl providers,consumer regulator proposes stricter disclosures bnpl providers consumer regulator proposed clearer disclosures complaint handling rules buy now pay later providers bringing bnpl closer card like oversight,1.0,404,"['ai', 'bank', 'bnpl', 'card', 'regulator']",[],4.75,95.0,,True,regulation,s005,fuzzy,0.72,1.0
a016,Regulator moves to tighten BNPL disclosure requirements,https://www.finextra.com/newsarticle/regulator-bnpl-disclosure-rules,Finextra,2026-05-06,"A consumer regulator proposed clearer disclosures and complaint handling rules for buy-now-pay-later providers, bringing BNPL closer to card-like oversight.","A consumer regulator proposed clearer disclosures and complaint handling rules for buy-now-pay-later providers, bringing BNPL closer to card-like oversight. The publication mentions CFPB and connects the update with regulation use cases for banks.",https://finextra.com/newsarticle/regulator-bnpl-disclosure-rules,finextra.com,regulator moves tighten bnpl disclosure requirements,regulator moves tighten bnpl disclosure requirements consumer regulator proposed clearer disclosures complaint handling rules buy now pay later providers bringing bnpl closer card like oversight,0.8,404,"['ai', 'bank', 'bnpl', 'card', 'regulator']",[],4.55,91.0,,True,regulation,s005,fuzzy,0.72,0.76
a017,JPMorgan pilots palm biometric payments with stadium merchants,https://www.jpmorgan.com/payments/news/palm-biometric-stadium-pilot,JPMorgan,2026-05-06,"JPMorgan is piloting palm biometric payments at stadium merchants, combining identity, wallet enrollment and loyalty offers in one checkout flow.","JPMorgan is piloting palm biometric payments at stadium merchants, combining identity, wallet enrollment and loyalty offers in one checkout flow. The publication mentions JPMorgan and connects the update with UX use cases for banks.",https://jpmorgan.com/payments/news/palm-biometric-stadium-pilot,jpmorgan.com,jpmorgan pilots palm biometric payments stadium merchants,jpmorgan pilots palm biometric payments stadium merchants jpmorgan is piloting palm biometric payments at stadium merchants combining identity wallet enrollment loyalty offers one checkout flow,0.9,378,"['bank', 'checkout', 'identity', 'merchant', 'payment', 'payments', 'wallet']",[],5.0,100.0,,True,payments,s011,fuzzy,0.72,1.0
a018,JPMorgan tests palm payments for stadium checkout,https://www.pymnts.com/biometrics/jpmorgan-palm-payments-stadium,PYMNTS,2026-05-05,"JPMorgan is piloting palm biometric payments at stadium merchants, combining identity, wallet enrollment and loyalty offers in one checkout flow.","JPMorgan is piloting palm biometric payments at stadium merchants, combining identity, wallet enrollment and loyalty offers in one checkout flow. The publication mentions JPMorgan and connects the update with UX use cases for banks.",https://pymnts.com/biometrics/jpmorgan-palm-payments-stadium,pymnts.com,jpmorgan tests palm payments stadium checkout,jpmorgan tests palm payments stadium checkout jpmorgan is piloting palm biometric payments at stadium merchants combining identity wallet enrollment loyalty offers one checkout flow,0.8,378,"['bank', 'checkout', 'identity', 'merchant', 'payment', 'payments', 'wallet']",[],5.0,100.0,,True,payments,s011,fuzzy,0.72,0.925
a019,JPMorgan tests palm payments for stadium checkout,https://fintechrepost.example/jpmorgan_biometrics?utm_source=telegram,Fintech Repost,2026-05-04,"JPMorgan is piloting palm biometric payments at stadium merchants, combining identity, wallet enrollment and loyalty offers in one checkout flow. The article republishes details from another industry source.","JPMorgan is piloting palm biometric payments at stadium merchants, combining identity, wallet enrollment and loyalty offers in one checkout flow.",https://fintechrepost.example/jpmorgan_biometrics,fintechrepost.example,jpmorgan tests palm payments stadium checkout,jpmorgan tests palm payments stadium checkout jpmorgan is piloting palm biometric payments at stadium merchants combining identity wallet enrollment loyalty offers one checkout flow article republishes details from another industry source,0.45,353,"['ai', 'checkout', 'identity', 'merchant', 'payment', 'payments', 'wallet']",[],5.0,100.0,,True,payments,s011,fuzzy,0.72,0.803
a020,PayPal partners with insurer to add embedded purchase protection offers,https://newsroom.paypal-corp.com/embedded-insurance-purchase-protection,PayPal,2026-05-05,PayPal announced an embedded insurance partnership that lets shoppers add purchase protection offers inside checkout and post-purchase account flows.,PayPal announced an embedded insurance partnership that lets shoppers add purchase protection offers inside checkout and post-purchase account flows. The publication mentions PayPal and connects the update with partnership use cases for banks.,https://newsroom.paypal-corp.com/embedded-insurance-purchase-protection,newsroom.paypal-corp.com,paypal partners insurer add embedded purchase protection offers,paypal partners insurer add embedded purchase protection offers paypal announced embedded insurance partnership that lets shoppers add purchase protection offers inside checkout post purchase account flows,0.9,393,"['account', 'bank', 'checkout', 'embedded']",[],4.1,82.0,,True,partnership,s012,fuzzy,0.72,1.0
a021,PayPal adds embedded protection offers through insurance partner,https://thepaypers.com/online-payments/paypal-embedded-insurance-checkout,The Paypers,2026-05-04,PayPal announced an embedded insurance partnership that lets shoppers add purchase protection offers inside checkout and post-purchase account flows.,PayPal announced an embedded insurance partnership that lets shoppers add purchase protection offers inside checkout and post-purchase account flows. The publication mentions PayPal and connects the update with partnership use cases for banks.,https://thepaypers.com/online-payments/paypal-embedded-insurance-checkout,thepaypers.com,paypal adds embedded protection offers through insurance partner,paypal adds embedded protection offers through insurance partner paypal announced embedded insurance partnership that lets shoppers add purchase protection offers inside checkout post purchase account flows,0.8,393,"['account', 'bank', 'checkout', 'embedded']",[],4.0,80.0,,True,partnership,s012,fuzzy,0.72,0.779
a022,BIS project tests tokenized deposits for cross-border settlement,https://www.bis.org/about/bisih/tokenized-deposits-cross-border-settlement.htm,BIS,2026-05-04,"A BIS innovation project tested tokenized deposits for cross-border settlement, focusing on interoperability between commercial bank money and central bank money.","A BIS innovation project tested tokenized deposits for cross-border settlement, focusing on interoperability between commercial bank money and central bank money. The publication mentions BIS and connects the update with market_signal use cases for banks.",https://bis.org/about/bisih/tokenized-deposits-cross-border-settlement.htm,bis.org,bis project tests tokenized deposits cross border settlement,bis project tests tokenized deposits cross border settlement bis innovation project tested tokenized deposits cross border settlement focusing interoperability between commercial bank money central bank money,1.0,418,"['bank', 'deposit', 'settlement', 'tokenized']",[],4.2,84.0,,True,market_signal,s007,fuzzy,0.72,1.0
a023,BIS tests tokenized commercial bank deposits for settlement,https://www.finextra.com/newsarticle/bis-tokenized-deposits-cross-border,Finextra,2026-05-03,"A BIS innovation project tested tokenized deposits for cross-border settlement, focusing on interoperability between commercial bank money and central bank money.","A BIS innovation project tested tokenized deposits for cross-border settlement, focusing on interoperability between commercial bank money and central bank money. The publication mentions BIS and connects the update with market_signal use cases for banks.",https://finextra.com/newsarticle/bis-tokenized-deposits-cross-border,finextra.com,bis tests tokenized commercial bank deposits settlement,bis tests tokenized commercial bank deposits settlement bis innovation project tested tokenized deposits cross border settlement focusing interoperability between commercial bank money central bank money,0.8,418,"['bank', 'deposit', 'settlement', 'tokenized']",[],4.0,80.0,,True,market_signal,s007,fuzzy,0.72,1.0
a024,BIS tests tokenized commercial bank deposits for settlement,https://fintechrepost.example/tokenized_deposits?utm_source=telegram,Fintech Repost,2026-05-02,"A BIS innovation project tested tokenized deposits for cross-border settlement, focusing on interoperability between commercial bank money and central bank money. The article republishes details from another industry source.","A BIS innovation project tested tokenized deposits for cross-border settlement, focusing on interoperability between commercial bank money and central bank money.",https://fintechrepost.example/tokenized_deposits,fintechrepost.example,bis tests tokenized commercial bank deposits settlement,bis tests tokenized commercial bank deposits settlement bis innovation project tested tokenized deposits cross border settlement focusing interoperability between commercial bank money central bank money article republishes details from another industry source,0.45,387,"['ai', 'bank', 'deposit', 'settlement', 'tokenized']",[],4.2,84.0,,True,market_signal,s007,fuzzy,0.72,0.765
a025,Mastercard launches AI service for real-time mule account detection,https://www.mastercard.com/news/press/ai-mule-account-detection,Mastercard,2026-05-03,Mastercard launched an AI service that helps banks detect mule accounts and suspicious payment flows before funds leave the banking network.,Mastercard launched an AI service that helps banks detect mule accounts and suspicious payment flows before funds leave the banking network. The publication mentions Mastercard and connects the update with fraud_risk use cases for banks.,https://mastercard.com/news/press/ai-mule-account-detection,mastercard.com,mastercard launches ai service real time mule account detection,mastercard launches ai service real time mule account detection mastercard launched ai service that helps banks detect mule accounts suspicious payment flows before funds leave banking network,0.9,378,"['account', 'ai', 'bank', 'banking', 'card', 'fraud', 'payment']",[],5.0,100.0,,True,fraud_risk,s014,fuzzy,0.72,1.0
a026,Mastercard uses AI to help banks detect mule accounts,https://www.finextra.com/newsarticle/mastercard-ai-mule-account-detection,Finextra,2026-05-02,Mastercard launched an AI service that helps banks detect mule accounts and suspicious payment flows before funds leave the banking network.,Mastercard launched an AI service that helps banks detect mule accounts and suspicious payment flows before funds leave the banking network. The publication mentions Mastercard and connects the update with fraud_risk use cases for banks.,https://finextra.com/newsarticle/mastercard-ai-mule-account-detection,finextra.com,mastercard uses ai help banks detect mule accounts,mastercard uses ai help banks detect mule accounts mastercard launched ai service that helps banks detect mule accounts suspicious payment flows before funds leave banking network,0.8,378,"['account', 'ai', 'bank', 'banking', 'card', 'fraud', 'payment']",[],5.0,100.0,,True,fraud_risk,s014,fuzzy,0.72,0.884
a027,Klarna expands savings account and debit features in Europe,https://techcrunch.com/2026/05/06/klarna-savings-debit-europe,TechCrunch,2026-05-02,"Klarna expanded savings account and debit features in Europe, deepening its move from checkout financing into everyday banking relationships.","Klarna expanded savings account and debit features in Europe, deepening its move from checkout financing into everyday banking relationships. The publication mentions Klarna and connects the update with banking_product use cases for banks.",https://techcrunch.com/2026/05/06/klarna-savings-debit-europe,techcrunch.com,klarna expands savings account debit features europe,klarna expands savings account debit features europe klarna expanded savings account debit features europe deepening its move from checkout financing into everyday banking relationships,0.7,381,"['account', 'bank', 'banking', 'checkout', 'debit']",[],4.45,89.0,,True,banking_product,s023,fuzzy,0.72,0.85
a028,Klarna pushes further into everyday banking with savings features,https://www.finextra.com/newsarticle/klarna-savings-debit-europe,Finextra,2026-05-01,"Klarna expanded savings account and debit features in Europe, deepening its move from checkout financing into everyday banking relationships.","Klarna expanded savings account and debit features in Europe, deepening its move from checkout financing into everyday banking relationships. The publication mentions Klarna and connects the update with banking_product use cases for banks.",https://finextra.com/newsarticle/klarna-savings-debit-europe,finextra.com,klarna pushes further into everyday banking savings features,klarna pushes further into everyday banking savings features klarna expanded savings account debit features europe deepening its move from checkout financing into everyday banking relationships,0.8,381,"['account', 'bank', 'banking', 'checkout', 'debit']",[],4.55,91.0,,True,banking_product,s023,fuzzy,0.72,1.0
a029,Klarna pushes further into everyday banking with savings features,https://fintechrepost.example/klarna_bank_account?utm_source=telegram,Fintech Repost,2026-05-12,"Klarna expanded savings account and debit features in Europe, deepening its move from checkout financing into everyday banking relationships. The article republishes details from another industry source.","Klarna expanded savings account and debit features in Europe, deepening its move from checkout financing into everyday banking relationships.",https://fintechrepost.example/klarna_bank_account,fintechrepost.example,klarna pushes further into everyday banking savings features,klarna pushes further into everyday banking savings features klarna expanded savings account debit features europe deepening its move from checkout financing into everyday banking relationships article republishes details from another industry source,0.45,345,"['account', 'ai', 'bank', 'banking', 'checkout', 'debit']",[],4.75,95.0,,True,banking_product,s023,fuzzy,0.72,0.871
a030,Central bank publishes guidance on AI model risk in financial services,https://www.bankofengland.co.uk/prudential-regulation/ai-model-risk-guidance,Bank of England,2026-05-01,"A central bank published guidance on AI model risk management for financial services, calling for governance, monitoring and explainability controls.","A central bank published guidance on AI model risk management for financial services, calling for governance, monitoring and explainability controls. The publication mentions Bank of England and connects the update with regulation use cases for banks.",https://bankofengland.co.uk/prudential-regulation/ai-model-risk-guidance,bankofengland.co.uk,central bank publishes guidance ai model risk financial services,central bank publishes guidance ai model risk financial services central bank published guidance ai model risk management financial services calling governance monitoring explainability controls,1.0,401,"['ai', 'bank']",[],3.1,62.0,,True,regulation,s008,fuzzy,0.72,1.0
a031,Banking regulator issues AI model risk guidance,https://www.finextra.com/newsarticle/central-bank-ai-model-risk-guidance,Finextra,2026-05-12,"A central bank published guidance on AI model risk management for financial services, calling for governance, monitoring and explainability controls.","A central bank published guidance on AI model risk management for financial services, calling for governance, monitoring and explainability controls. The publication mentions Bank of England and connects the update with regulation use cases for banks.",https://finextra.com/newsarticle/central-bank-ai-model-risk-guidance,finextra.com,banking regulator issues ai model risk guidance,banking regulator issues ai model risk guidance central bank published guidance ai model risk management financial services calling governance monitoring explainability controls,0.8,401,"['ai', 'bank', 'banking', 'regulator']",[],4.0,80.0,,True,regulation,s008,fuzzy,0.72,0.863
a032,Банк России расширяет пилот цифрового рубля для банков и торговых сценариев,https://www.cbr.ru/press/event/?id=digital-ruble-pilot,Банк России — пресс-релизы,2026-05-12,"Банк России сообщил о расширении пилота цифрового рубля: банки подключают новые клиентские сценарии, переводы и оплату через QR, включая тестирование операций для бизнеса.","Банк России сообщил о расширении пилота цифрового рубля: банки подключают новые клиентские сценарии, переводы и оплату через QR, включая тестирование операций для бизнеса. Публикация упоминает Банк России и связывает событие с направлением regulation для банковских команд.",https://cbr.ru/press/event?id=digital-ruble-pilot,cbr.ru,банк россии расширяет пилот цифрового рубля для банков и торговых сценариев,банк россии расширяет пилот цифрового рубля для банков и торговых сценариев банк россии сообщил о расширении пилота цифрового рубля банки подключают новые клиентские сценарии переводы и оплату через qr включая тестирование операций для бизнеса,1.0,445,"['qr', 'банк', 'банк россии', 'банки', 'перевод', 'переводы']",[],5.0,100.0,,True,payments,s001,fuzzy,0.72,1.0
a033,ЦБ расширяет пилот цифрового рубля для банковских клиентов,https://www.rbc.ru/finances/2026/05/10/digital-ruble-pilot-banks,РБК — новости,2026-05-11,"Банк России сообщил о расширении пилота цифрового рубля: банки подключают новые клиентские сценарии, переводы и оплату через QR, включая тестирование операций для бизнеса.","Банк России сообщил о расширении пилота цифрового рубля: банки подключают новые клиентские сценарии, переводы и оплату через QR, включая тестирование операций для бизнеса. Публикация упоминает Банк России и связывает событие с направлением regulation для банковских команд.",https://rbc.ru/finances/2026/05/10/digital-ruble-pilot-banks,rbc.ru,цб расширяет пилот цифрового рубля для банковских клиентов,цб расширяет пилот цифрового рубля для банковских клиентов банк россии сообщил о расширении пилота цифрового рубля банки подключают новые клиентские сценарии переводы и оплату через qr включая тестирование операций для бизнеса,0.7,445,"['qr', 'банк', 'банк россии', 'банки', 'перевод', 'переводы', 'цб']",[],5.0,100.0,,True,payments,s001,fuzzy,0.72,0.913
a034,ЦБ расширяет пилот цифрового рубля для банковских клиентов,https://fintechrepost.example/cbr_digital_ruble_pilot?utm_source=telegram,Fintech Repost,2026-05-10,"Банк России сообщил о расширении пилота цифрового рубля: банки подключают новые клиентские сценарии, переводы и оплату через QR, включая тестирование операций для бизнеса. Материал пересказывает детали из другого отраслевого источника.","Банк России сообщил о расширении пилота цифрового рубля: банки подключают новые клиентские сценарии, переводы и оплату через QR, включая тестирование операций для бизнеса.",https://fintechrepost.example/cbr_digital_ruble_pilot,fintechrepost.example,цб расширяет пилот цифрового рубля для банковских клиентов,цб расширяет пилот цифрового рубля для банковских клиентов банк россии сообщил о расширении пилота цифрового рубля банки подключают новые клиентские сценарии переводы и оплату через qr включая тестирование операций для бизнеса материал пересказывает детали из другого отраслевого источника,0.45,407,"['qr', 'банк', 'банк россии', 'банки', 'перевод', 'переводы', 'цб']",[],5.0,100.0,,True,payments,s001,fuzzy,0.72,0.805
a035,Банки тестируют кешбэк и подписки в СБП для merchant-сценариев,https://www.rbc.ru/finances/2026/05/09/sbp-loyalty-merchant-payments,РБК — новости,2026-05-11,"Несколько банков и платежных провайдеров тестируют механики лояльности в СБП: кешбэк, QR-оплату и повторные платежи для малого бизнеса и онлайн-мерчантов.","Несколько банков и платежных провайдеров тестируют механики лояльности в СБП: кешбэк, QR-оплату и повторные платежи для малого бизнеса и онлайн-мерчантов. Публикация упоминает Банки и платежные провайдеры и связывает событие с направлением payments для банковских команд.",https://rbc.ru/finances/2026/05/09/sbp-loyalty-merchant-payments,rbc.ru,банки тестируют кешбэк и подписки в сбп для merchant сценариев,банки тестируют кешбэк и подписки в сбп для merchant сценариев несколько банков и платежных провайдеров тестируют механики лояльности в сбп кешбэк qr оплату и повторные платежи для малого бизнеса и онлайн мерчантов,0.7,426,"['merchant', 'payment', 'payments', 'qr', 'банк', 'банки', 'кешбэк', 'мерчант', 'платеж', 'платежи', 'сбп']",[],5.0,100.0,,True,payments,s003,fuzzy,0.72,0.808
